Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 70 Lac,0,"
2 BHK Apartment
",810 sqft,2 out of 10 floors
₹ 29.8 Lac,0,"
2 BHK Apartment
",850 sqft,4 out of 4 floors
₹ 45 Lac,0,"
2 BHK Apartment
",660 sqft,2 out of 7 floors
₹ 55 Lac,0,"
3 BHK Apartment
",880 sqft,1 out of 4 floors
₹ 70 Lac,0,"
3 BHK Apartment
",771 sqft,Ground out of 4 floors
₹ 85 Lac,0,"
5 BHK Apartment
",1800 sqft,4 out of 4 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1260 sqft,4 out of 4 floors
₹ 37 Lac,0,"
2 BHK Builder Floor
",580 sqft,2 out of 3 floors
₹ 35 Lac,₹ 2832,"
3 BHK Apartment
",1236 sqft,7 out of 15 floors
₹ 35 Lac,0,"
2 BHK Apartment
",789 sqft,2 out of 4 floors
₹ 48 Lac,0,"
2 BHK Builder Floor
",854 sqft,3 out of 4 floors
₹ 70 Lac,0,"
3 BHK Apartment
",976 sqft,3 out of 3 floors
₹ 57 Lac,0,"
2 BHK Apartment
",1088 sqft,3 out of 4 floors
₹ 61 Lac,0,"
2 BHK Apartment
",900 sqft,2 out of 4 floors
₹ 58 Lac,0,"
3 BHK Apartment
",1198 sqft,1 out of 5 floors
₹ 67 Lac,0,"
5 BHK Builder Floor
",1300 sqft,4 out of 4 floors
₹ 35 Lac,₹ 3256,"
3 BHK Apartment
",1075 sqft,1 out of 4 floors
₹ 27 Lac,0,"
2 BHK Apartment
",740 sqft,Ground out of 5 floors
₹ 40 Lac,₹ 3174,"
3 BHK Apartment
",1260 sqft,3 out of 4 floors
₹ 77.5 Lac,0,"
3 BHK Apartment
",945 sqft,3 out of 4 floors
₹ 45 Lac,0,"
3 BHK Apartment
",1200 sqm,3 out of 3 floors
₹ 52 Lac,₹ 5439,"
2 BHK Apartment
",956 sqft,1 out of 6 floors
₹ 42 Lac,₹ 2847,"
3 BHK Apartment
",1475 sqft,1 out of 4 floors
₹ 75 Lac,₹ 5859,"
3 BHK Apartment
",1280 sqft,1 out of 8 floors
₹ 79 Lac,₹ 5467,"
3 BHK Apartment
",1445 sqft,3 out of 6 floors
₹ 85 Lac,0,"
3 BHK Apartment
",1300 sqft,9 out of 26 floors
₹ 52 Lac,0,"
2 BHK Apartment
",824 sqft,3 out of 14 floors
₹ 65 Lac,0,"
2 BHK Apartment
",911 sqft,9 out of 11 floors
₹ 48.3 Lac,0,"
3 BHK Apartment
",1000 sqft,8 out of 11 floors
₹ 35 Lac,0,"
2 BHK Apartment
",695 sqft,3 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",605 sqft,1 out of 4 floors
₹ 30 Lac,0,"
2 BHK Apartment
",850 sqft,4 out of 4 floors
₹ 66 Lac,0,"
3 BHK Apartment
",1183 sqft,6 out of 6 floors
₹ 32 Lac,₹ 4000,"
2 BHK Apartment
",800 sqft,3 out of 4 floors
₹ 70 Lac,0,"
2 BHK Apartment
",1000 sqft,4 out of 7 floors
₹ 83 Lac,₹ 6148,"
3 BHK Apartment
",1456 sqft,10 out of 19 floors
₹ 52 Lac,₹ 5902,"
2 BHK Apartment
",881 sqft,Lower Basement out of 3 floors
₹ 40 Lac,0,"
2 BHK Apartment
",492 sqft,11 out of 13 floors
₹ 65 Lac,₹ 5856,"
2 BHK Apartment
",1110 sqft,1 out of 20 floors
₹ 40 Lac,0,"
2 BHK Apartment
",550 sqft,3 out of 3 floors
₹ 40 Lac,0,"
3 BHK Apartment
",1056 sqft,3 out of 4 floors
₹ 60 Lac,₹ 4286,"
3 BHK Apartment
",1400 sqft,2 out of 5 floors
₹ 60 Lac,₹ 4975,"
3 BHK Apartment
",1206 sqft,3 out of 4 floors
₹ 50 Lac,₹ 4545,"
2 BHK Apartment
",1100 sqft,1 out of 6 floors
₹ 38.5 Lac,0,"
2 BHK Apartment
",864 sqft,3 out of 3 floors
₹ 25 Lac,0,"
2 BHK Apartment
",620 sqft,2 out of 4 floors
₹ 75 Lac,₹ 4886,"
3 BHK Apartment
",1535 sqft,14 out of 16 floors
₹ 39 Lac,₹ 5744,"
2 BHK Apartment
",679 sqft,Resale
₹ 45 Lac,0,"
2 BHK Apartment
",1500 sqft,Ground out of 3 floors
₹ 27.5 Lac,₹ 2544,"
3 BHK Apartment
",1081 sqft,4 out of 4 floors
₹ 34 Lac,₹ 3363,"
2 BHK Apartment
",1011 sqft,1 out of 4 floors
₹ 90 Lac,₹ 5714,"
3 BHK Apartment
",1575 sqft,1 out of 4 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1560 sqft,3 out of 5 floors
₹ 42 Lac,₹ 3398,"
3 BHK Apartment
",1236 sqft,4 out of 16 floors
₹ 45 Lac,₹ 4285,"
3 BHK Apartment
",1050 sqft,3 out of 10 floors
₹ 26 Lac,₹ 3084,"
2 BHK Apartment
",843 sqft,1 out of 4 floors
₹ 52 Lac,0,"
3 BHK Apartment
",900 sqft,1 out of 14 floors
₹ 35 Lac,0,"
2 BHK Apartment
",656 sqft,4 out of 5 floors
₹ 80 Lac,₹ 6488,"
3 BHK Apartment
",1233 sqft,1 out of 5 floors
₹ 31.3 Lac,0,"
3 BHK Apartment
",936 sqft,3 out of 4 floors
₹ 40 Lac,₹ 3106,"
3 BHK Apartment
",1288 sqft,Ground out of 5 floors
₹ 30 Lac,₹ 4478,"
2 BHK Apartment
",670 sqft,1 out of 3 floors
₹ 45 Lac,0,"
2 BHK Apartment
",665 sqft,3 out of 3 floors
₹ 35 Lac,0,"
2 BHK Builder Floor
",800 sqft,1 out of 4 floors
₹ 80 Lac,₹ 5000,"
3 BHK Apartment
",1600 sqft,8 out of 8 floors
₹ 50 Lac,₹ 4425,"
3 BHK Apartment
",1130 sqft,4 out of 4 floors
₹ 50.8 Lac,₹ 3391,"
3 BHK Apartment
",1498 sqft,3 out of 4 floors
₹ 45 Lac,₹ 3920,"
2 BHK Apartment
",1148 sqft,1 out of 4 floors
₹ 75 Lac,0,"
2 BHK Apartment
",800 sqft,3 out of 5 floors
₹ 73 Lac,0,"
3 BHK Apartment
",1150 sqft,1 out of 19 floors
₹ 29 Lac,0,"
2 BHK Apartment
",760 sqft,3 out of 4 floors
₹ 19 Lac,0,"
2 BHK Apartment
",890 sqft,2 out of 3 floors
₹ 88.8 Lac,₹ 4914,"
4 BHK Builder Floor
",1806 sqft,2 out of 4 floors
₹ 87 Lac,₹ 6882,"
3 BHK Apartment
",1264 sqft,7 out of 27 floors
₹ 27.5 Lac,0,"
2 BHK Apartment
",480 sqft,1 out of 14 floors
₹ 55 Lac,₹ 2895,"
4 BHK Apartment
",1900 sqft,4 out of 4 floors
₹ 38 Lac,0,"
2 BHK Apartment
",765 sqft,3 out of 4 floors
₹ 50 Lac,0,"
3 BHK Apartment
",770 sqft,1 out of 6 floors
₹ 50 Lac,0,"
2 BHK Apartment
",1203 sqft,3 out of 18 floors
₹ 48 Lac,0,"
2 BHK Apartment
",672 sqft,2 out of 25 floors
₹ 45 Lac,₹ 4500,"
2 BHK Builder Floor
",1000 sqft,1 out of 3 floors
₹ 55 Lac,₹ 5500,"
2 BHK Apartment
",1000 sqft,3 out of 4 floors
₹ 55 Lac,₹ 3604,"
3 BHK Apartment
",1526 sqft,Ground out of 4 floors
₹ 50 Lac,0,"
2 BHK Builder Floor
",799 sqft,2 out of 4 floors
₹ 25 Lac,0,"
2 BHK Apartment
",700 sqft,3 out of 3 floors
₹ 65 Lac,0,"
3 BHK Apartment
",886 sqft,7 out of 15 floors
₹ 43 Lac,0,"
3 BHK Builder Floor
",808 sqft,3 out of 3 floors
₹ 75 Lac,0,"
2 BHK Apartment
",1076 sqft,5 out of 11 floors
₹ 47 Lac,0,"
3 BHK Apartment
",935 sqft,1 out of 5 floors
₹ 45 Lac,0,"
2 BHK Apartment
",612 sqft,1 out of 9 floors
₹ 33 Lac,₹ 4411,"
2 BHK Builder Floor
",748 sqft,1 out of 3 floors
₹ 35 Lac,0,"
2 BHK Apartment
",690 sqft,3 out of 3 floors
₹ 42 Lac,0,"
2 BHK Apartment
",893 sqft,8 out of 13 floors
₹ 90 Lac,₹ 5241,"
3 BHK Apartment
",1717 sqft,3 out of 10 floors
₹ 26.5 Lac,0,"
2 BHK Apartment
",703 sqft,4 out of 4 floors
₹ 72 Lac,0,"
3 BHK Apartment
",999 sqft,3 out of 3 floors
₹ 25.2 Lac,0,"
2 BHK Apartment
",643 sqft,2 out of 2 floors
₹ 50 Lac,0,"
3 BHK Apartment
",1019 sqft,3 out of 5 floors
₹ 33 Lac,0,"
3 BHK Apartment
",668 sqft,2 out of 6 floors
₹ 42 Lac,0,"
2 BHK Apartment
",748 sqft,3 out of 3 floors
₹ 82 Lac,0,"
2 BHK Apartment
",935 sqft,3 out of 4 floors
₹ 32 Lac,0,"
2 BHK Apartment
",866 sqft,1 out of 5 floors
₹ 88 Lac,0,"
3 BHK Apartment
",1150 sqft,7 out of 8 floors
₹ 31.5 Lac,0,"
2 BHK Apartment
",780 sqft,Ground out of 3 floors
₹ 52 Lac,0,"
2 BHK Apartment
",751 sqft,3 out of 3 floors
₹ 54 Lac,₹ 5696,"
2 BHK Apartment
",948 sqft,7 out of 14 floors
₹ 62 Lac,0,"
2 BHK Builder Floor
",900 sqft,3 out of 3 floors
₹ 34 Lac,0,"
2 BHK Apartment
",836 sqft,2 out of 3 floors
₹ 20 Lac,₹ 3105,"
2 BHK Apartment
",644 sqft,4 out of 4 floors
₹ 55 Lac,0,"
3 BHK Apartment
",1100 sqft,2 out of 3 floors
₹ 57 Lac,₹ 5429,"
2 BHK Apartment
",1050 sqft,4 out of 4 floors
₹ 72 Lac,0,"
3 BHK Apartment
",1082 sqft,1 out of 5 floors
₹ 18 Lac,0,"
2 BHK Apartment
",686 sqft,Ground out of 4 floors
₹ 34 Lac,₹ 3757,"
2 BHK Apartment
",905 sqft,4 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",546 sqft,4 out of 4 floors
₹ 80 Lac,0,"
2 BHK Apartment
",967 sqft,Ground out of 25 floors
₹ 25 Lac,0,"
2 BHK Apartment
",450 sqft,1 out of 3 floors
₹ 37 Lac,₹ 3978,"
3 BHK Apartment
",930 sqft,3 out of 5 floors
₹ 20 Lac,0,"
2 BHK Apartment
",705 sqft,2 out of 5 floors
₹ 30 Lac,0,"
3 BHK Apartment
",1120 sqft,2 out of 3 floors
₹ 42 Lac,0,"
3 BHK Apartment
",750 sqft,3 out of 4 floors
₹ 27.5 Lac,0,"
2 BHK Apartment
",720 sqft,3 out of 4 floors
₹ 38 Lac,0,"
2 BHK Apartment
",834 sqft,2 out of 4 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1177 sqft,5 out of 7 floors
₹ 32 Lac,0,"
2 BHK Apartment
",550 sqft,4 out of 4 floors
₹ 35 Lac,0,"
2 BHK Apartment
",790 sqft,2 out of 4 floors
₹ 35.1 Lac,₹ 4500,"
2 BHK Apartment
",780 sqft,3 out of 4 floors
₹ 40 Lac,0,"
3 BHK Apartment
",1000 sqft,3 out of 3 floors
₹ 48 Lac,0,"
3 BHK Apartment
",1180 sqft,2 out of 4 floors
₹ 32 Lac,0,"
2 BHK Apartment
",750 sqft,5 out of 5 floors
₹ 80 Lac,0,"
4 BHK Apartment
",1990 sqft,5 out of 6 floors
₹ 40 Lac,0,"
3 BHK Apartment
",898 sqft,4 out of 4 floors
₹ 30 Lac,0,"
3 BHK Apartment
",1051 sqft,8 out of 15 floors
₹ 37 Lac,0,"
2 BHK Builder Floor
",800 sqft,3 out of 5 floors
₹ 32 Lac,0,"
2 BHK Apartment
",757 sqft,3 out of 5 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1095 sqft,4 out of 6 floors
₹ 63 Lac,0,"
3 BHK Apartment
",860 sqft,3 out of 4 floors
₹ 30 Lac,0,"
3 BHK Apartment
",800 sqft,4 out of 5 floors
₹ 16 Lac,0,"
2 BHK Apartment
",607 sqft,3 out of 3 floors
₹ 52 Lac,0,"
3 BHK Apartment
",1100 sqft,3 out of 5 floors
₹ 35 Lac,0,"
3 BHK Apartment
",750 sqft,2 out of 4 floors
₹ 24 Lac,0,"
2 BHK Apartment
",510 sqft,1 out of 5 floors
₹ 25 Lac,0,"
2 BHK Apartment
",751 sqft,4 out of 4 floors
₹ 51 Lac,₹ 4951,"
2 BHK Apartment
",1030 sqft,2 out of 6 floors
₹ 35 Lac,₹ 2917,"
3 BHK Apartment
",1200 sqft,4 out of 4 floors
₹ 22 Lac,₹ 3175,"
2 BHK Apartment
",693 sqft,2 out of 2 floors
₹ 90 Lac,0,"
4 BHK Builder Floor
",1350 sqft,Resale
₹ 25 Lac,₹ 5882,"
1 BHK Apartment
",425 sqft,2 out of 4 floors
₹ 75 Lac,₹ 5682,"
2 BHK Apartment
",1320 sqft,8 out of 18 floors
₹ 46 Lac,₹ 4381,"
2 BHK Apartment
",1050 sqft,2 out of 5 floors
₹ 15 Lac,0,"
1 BHK Apartment
",380 sqft,1 out of 4 floors
₹ 35 Lac,₹ 4861,"
2 BHK Apartment
",720 sqft,3 out of 3 floors
₹ 32 Lac,₹ 3556,"
2 BHK Builder Floor
",900 sqft,3 out of 3 floors
₹ 27 Lac,0,"
2 BHK Apartment
",720 sqft,Ground out of 2 floors
₹ 45 Lac,₹ 5294,"
2 BHK Builder Floor
",850 sqft,Lower Basement out of 4 floors
₹ 23 Lac,0,"
2 BHK Apartment
",571 sqft,1 out of 3 floors
₹ 80 Lac,₹ 4725,"
3 BHK Apartment
",1693 sqft,5 out of 22 floors
₹ 22 Lac,0,"
2 BHK Apartment
",620 sqft,3 out of 4 floors
₹ 46 Lac,0,"
3 BHK Apartment
",1100 sqft,4 out of 6 floors
₹ 27 Lac,₹ 3982,"
2 BHK Apartment
",678 sqft,1 out of 5 floors
₹ 35 Lac,0,"
3 BHK Apartment
",900 sqft,8 out of 11 floors
₹ 60 Lac,₹ 4412,"
3 BHK Apartment
",1360 sqft,2 out of 5 floors
₹ 15 Lac,₹ 2000,"
2 BHK Builder Floor
",750 sqft,5 out of 5 floors
₹ 25 Lac,0,"
2 BHK Apartment
",546 sqft,4 out of 4 floors
₹ 39 Lac,₹ 4414,"
2 BHK Apartment
",940 sqft,1 out of 4 floors
₹ 30 Lac,0,"
2 BHK Apartment
",544 sqft,1 out of 3 floors
₹ 31 Lac,0,"
2 BHK Apartment
",617 sqft,1 out of 3 floors
₹ 56 Lac,0,"
3 BHK Apartment
",1088 sqft,3 out of 4 floors
₹ 55 Lac,₹ 4018,"
3 BHK Apartment
",1369 sqft,2 out of 5 floors
₹ 30 Lac,₹ 3822,"
2 BHK Apartment
",785 sqft,1 out of 4 floors
₹ 31 Lac,0,"
3 BHK Apartment
",475 sqft,3 out of 4 floors
₹ 35 Lac,0,"
2 BHK Apartment
",450 sqft,Ground out of 4 floors
₹ 67 Lac,0,"
3 BHK Apartment
",1148 sqft,7 out of 10 floors
₹ 27.5 Lac,₹ 3666,"
2 BHK Apartment
",750 sqft,10 out of 14 floors
₹ 80.5 Lac,0,"
2 BHK Apartment
",1150 sqft,14 out of 26 floors
₹ 29 Lac,0,"
1 BHK Apartment
",400 sqft,4 out of 4 floors
₹ 48 Lac,0,"
3 BHK Apartment
",1050 sqft,4 out of 11 floors
₹ 85 Lac,0,"
3 BHK Apartment
",1170 sqft,6 out of 15 floors
₹ 90 Lac,₹ 6215,"
3 BHK Apartment
",1448 sqft,9 out of 16 floors
₹ 46 Lac,0,"
3 BHK Apartment
",1002 sqft,3 out of 5 floors
₹ 40 Lac,0,"
3 BHK Apartment
",1050 sqft,2 out of 3 floors
₹ 41 Lac,0,"
3 BHK Builder Floor
",1274 sqft,2 out of 4 floors
₹ 65.9 Lac,0,"
3 BHK Apartment
",1180 sqft,4 out of 9 floors
₹ 28 Lac,0,"
2 BHK Apartment
",595 sqft,3 out of 3 floors
₹ 38 Lac,0,"
2 BHK Apartment
",621 sqft,3 out of 3 floors
₹ 46.8 Lac,0,"
3 BHK Apartment
",942 sqft,4 out of 4 floors
₹ 21 Lac,0,"
2 BHK Apartment
",600 sqft,1 out of 3 floors
₹ 70 Lac,0,"
2 BHK Apartment
",1032 sqft,10 out of 22 floors
₹ 62.8 Lac,0,"
3 BHK Apartment
",1095 sqft,2 out of 3 floors
₹ 69 Lac,₹ 4495,"
3 BHK Apartment
",1535 sqft,11 out of 16 floors
₹ 26.9 Lac,0,"
2 BHK Apartment
",836 sqft,2 out of 5 floors
₹ 72 Lac,₹ 4243,"
3 BHK Apartment
",1697 sqft,14 out of 14 floors
₹ 35 Lac,0,"
2 BHK Apartment
",780 sqft,2 out of 9 floors
₹ 30 Lac,₹ 4054,"
2 BHK Apartment
",740 sqft,Ground out of 3 floors
₹ 74 Lac,₹ 5000,"
3 BHK Apartment
",1480 sqft,9 out of 12 floors
₹ 25 Lac,₹ 3846,"
2 BHK Apartment
",650 sqft,3 out of 5 floors
₹ 45 Lac,0,"
2 BHK Apartment
",720 sqft,1 out of 3 floors
₹ 78 Lac,0,"
3 BHK Apartment
",1050 sqft,2 out of 5 floors
₹ 44 Lac,₹ 4400,"
3 BHK Apartment
",1000 sqft,Ground out of 3 floors
₹ 29.6 Lac,0,"
2 BHK Apartment
",710 sqft,1 out of 5 floors
₹ 32 Lac,₹ 4267,"
2 BHK Apartment
",750 sqft,Ground out of 3 floors
₹ 20 Lac,0,"
2 BHK Apartment
",720 sqft,4 out of 4 floors
₹ 61.4 Lac,0,"
3 BHK Apartment
",1117 sqft,1 out of 3 floors
₹ 85 Lac,₹ 6296,"
3 BHK Apartment
",1350 sqft,2 out of 14 floors
₹ 85 Lac,₹ 4921,"
2 BHK Apartment
",1727 sqft,12 out of 15 floors
₹ 20.5 Lac,0,"
2 BHK Apartment
",650 sqft,3 out of 5 floors
₹ 32 Lac,0,"
2 BHK Apartment
",900 sqft,1 out of 4 floors
₹ 62 Lac,0,"
3 BHK Apartment
",1300 sqft,1 out of 5 floors
₹ 41 Lac,₹ 5571,"
2 BHK Apartment
",736 sqft,7 out of 25 floors
₹ 16.8 Lac,0,"
2 BHK Apartment
",670 sqft,2 out of 5 floors
₹ 29 Lac,0,"
2 BHK Apartment
",630 sqft,3 out of 4 floors
₹ 81.1 Lac,₹ 6453,"
3 BHK Apartment
",1256 sqft,3 out of 12 floors
₹ 39.5 Lac,₹ 3556,"
3 BHK Apartment
",1110 sqft,2 out of 3 floors
₹ 62 Lac,₹ 6746,"
2 BHK Apartment
",919 sqft,7 out of 20 floors
₹ 31 Lac,0,"
2 BHK Apartment
",480 sqft,10 out of 14 floors
₹ 28 Lac,0,"
1 BHK Apartment
",290 sqft,22 out of 25 floors
₹ 85 Lac,₹ 8500,"
2 BHK Apartment
",1000 sqft,1 out of 4 floors
₹ 25.6 Lac,0,"
2 BHK Apartment
",720 sqft,2 out of 4 floors
₹ 77 Lac,0,"
3 BHK Apartment
",1400 sqft,9 out of 27 floors
₹ 88 Lac,₹ 5339,"
3 BHK Apartment
",1648 sqft,7 out of 21 floors
₹ 28 Lac,0,"
2 BHK Apartment
",750 sqft,3 out of 3 floors
₹ 40 Lac,₹ 3777,"
3 BHK Apartment
",1059 sqft,3 out of 4 floors
₹ 24 Lac,0,"
2 BHK Apartment
",600 sqft,1 out of 3 floors
₹ 73 Lac,0,"
3 BHK Apartment
",1150 sqft,1 out of 3 floors
₹ 46 Lac,₹ 4064,"
3 BHK Apartment
",1132 sqft,2 out of 4 floors
₹ 67 Lac,0,"
3 BHK Apartment
",1380 sqft,4 out of 8 floors
₹ 60 Lac,₹ 7211,"
2 BHK Apartment
",832 sqft,5 out of 10 floors
₹ 46.3 Lac,0,"
3 BHK Apartment
",960 sqft,1 out of 4 floors
₹ 80 Lac,0,"
3 BHK Apartment
",1300 sqft,11 out of 21 floors
₹ 24.5 Lac,0,"
2 BHK Apartment
",640 sqft,Ground out of 3 floors
₹ 82.8 Lac,₹ 6100,"
3 BHK Apartment
",1357 sqft,7 out of 24 floors
₹ 75 Lac,0,"
3 BHK Apartment
",1200 sqft,1 out of 5 floors
₹ 90 Lac,₹ 4737,"
4 BHK Apartment
",1900 sqft,1 out of 4 floors
₹ 38 Lac,₹ 4000,"
2 BHK Apartment
",950 sqft,1 out of 3 floors
₹ 62 Lac,0,"
3 BHK Apartment
",1066 sqft,2 out of 5 floors
₹ 72.4 Lac,0,"
3 BHK Apartment
",1563 sqft,3 out of 7 floors
₹ 83.2 Lac,₹ 6500,"
3 BHK Builder Floor
",1280 sqft,7 out of 10 floors
₹ 17 Lac,0,"
1 BHK Apartment
",360 sqft,1 out of 3 floors
₹ 80 Lac,0,"
4 BHK Builder Floor
",1927 sqft,3 out of 4 floors
₹ 32 Lac,0,"
2 BHK Apartment
",676 sqft,1 out of 4 floors
₹ 31 Lac,₹ 4769,"
2 BHK Apartment
",650 sqft,5 out of 14 floors
₹ 55 Lac,0,"
3 BHK Apartment
",950 sqft,4 out of 4 floors
₹ 44.4 Lac,0,"
2 BHK Apartment
",713 sqft,2 out of 5 floors
₹ 70 Lac,0,"
3 BHK Apartment
",1200 sqft,6 out of 15 floors
₹ 74 Lac,0,"
3 BHK Builder Floor
",935 sqft,1 out of 4 floors
₹ 32 Lac,0,"
2 BHK Apartment
",750 sqft,3 out of 3 floors
₹ 41 Lac,0,"
3 BHK Apartment
",800 sqft,2 out of 4 floors
₹ 21.3 Lac,₹ 2550,"
2 BHK Apartment
",837 sqft,3 out of 4 floors
₹ 75 Lac,₹ 5357,"
3 BHK Apartment
",1400 sqft,2 out of 4 floors
₹ 17.5 Lac,0,"
3 BHK Apartment
",468 sqft,Upper Basement out of 5 floors
₹ 18 Lac,₹ 4245,"
1 BHK Apartment
",424 sqft,1 out of 5 floors
₹ 59 Lac,0,"
3 BHK Apartment
",1900 sqft,1 out of 5 floors
₹ 21.5 Lac,0,"
2 BHK Apartment
",485 sqft,2 out of 4 floors
₹ 60 Lac,0,"
4 BHK Apartment
",1176 sqft,3 out of 3 floors
₹ 44.6 Lac,0,"
2 BHK Apartment
",842 sqft,2 out of 4 floors
₹ 58 Lac,0,"
3 BHK Apartment
",1100 sqft,1 out of 4 floors
₹ 35 Lac,0,"
2 BHK Apartment
",633 sqft,2 out of 5 floors
₹ 17.5 Lac,₹ 2182,"
2 BHK Apartment
",802 sqft,4 out of 4 floors
₹ 52 Lac,0,"
2 BHK Apartment
",800 sqft,1 out of 5 floors
₹ 55 Lac,₹ 4351,"
3 BHK Apartment
",1264 sqft,5 out of 11 floors
₹ 18.4 Lac,0,"
2 BHK Apartment
",615 sqft,3 out of 5 floors
₹ 40.3 Lac,₹ 4896,"
2 BHK Apartment
",823 sqft,3 out of 13 floors
₹ 26.3 Lac,0,"
2 BHK Apartment
",480 sqft,4 out of 14 floors
₹ 39.5 Lac,0,"
3 BHK Apartment
",925 sqft,4 out of 4 floors
₹ 25 Lac,0,"
2 BHK Apartment
",604 sqft,2 out of 4 floors
₹ 52 Lac,₹ 4100,"
3 BHK Apartment
",1268 sqft,3 out of 3 floors
₹ 22.9 Lac,0,"
2 BHK Apartment
",646 sqft,4 out of 4 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1320 sqft,25 out of 29 floors
₹ 57.6 Lac,0,"
2 BHK Apartment
",670 sqft,4 out of 10 floors
₹ 42 Lac,0,"
2 BHK Apartment
",715 sqft,4 out of 11 floors
₹ 45 Lac,0,"
2 BHK Apartment
",620 sqft,4 out of 8 floors
₹ 80 Lac,0,"
2 BHK Apartment
",756 sqft,8 out of 18 floors
₹ 60 Lac,0,"
2 BHK Apartment
",800 sqft,2 out of 4 floors
₹ 23 Lac,0,"
2 BHK Apartment
",539 sqft,4 out of 5 floors
₹ 21.9 Lac,₹ 2901,"
2 BHK Apartment
",755 sqft,1 out of 4 floors
₹ 62 Lac,0,"
3 BHK Apartment
",840 sqft,1 out of 3 floors
₹ 36 Lac,0,"
2 BHK Apartment
",600 sqft,1 out of 3 floors
₹ 42 Lac,₹ 4941,"
2 BHK Apartment
",850 sqft,12 out of 17 floors
₹ 35.5 Lac,0,"
2 BHK Apartment
",750 sqft,3 out of 3 floors
₹ 42 Lac,₹ 3231,"
3 BHK Apartment
",1300 sqft,7 out of 14 floors
₹ 60.5 Lac,₹ 5817,"
2 BHK Apartment
",1040 sqft,12 out of 25 floors
₹ 50 Lac,₹ 5555,"
2 BHK Apartment
",900 sqft,2 out of 3 floors
₹ 42 Lac,0,"
2 BHK Apartment
",600 sqft,8 out of 8 floors
₹ 26.5 Lac,₹ 2600,"
3 BHK Apartment
",1019 sqft,3 out of 5 floors
₹ 70 Lac,₹ 5000,"
3 BHK Apartment
",1400 sqft,2 out of 3 floors
₹ 43 Lac,0,"
2 BHK Apartment
",678 sqft,2 out of 5 floors
₹ 78 Lac,0,"
3 BHK Apartment
",1300 sqft,7 out of 25 floors
₹ 56.4 Lac,0,"
3 BHK Apartment
",1110 sqft,1 out of 4 floors
₹ 25 Lac,0,"
2 BHK Apartment
",680 sqft,Ground out of 5 floors
₹ 32 Lac,0,"
2 BHK Apartment
",638 sqft,3 out of 3 floors
₹ 80 Lac,0,"
3 BHK Apartment
",1100 sqft,4 out of 4 floors
₹ 60 Lac,0,"
2 BHK Apartment
",796 sqft,8 out of 10 floors
₹ 34 Lac,0,"
2 BHK Apartment
",585 sqft,2 out of 2 floors
