Price,SuperBuild,BHK,Total_Sq_Ft,Floor
₹ 65 Lac,0,"
3 BHK Apartment
",1232 sqft,4 out of 5 floors
₹ 28.5 Lac,0,"
2 BHK Apartment
",480 sqft,3 out of 14 floors
₹ 86 Lac,0,"
3 BHK Apartment
",1312 sqft,2 out of 7 floors
₹ 62 Lac,₹ 4092,"
3 BHK Apartment
",1515 sqft,3 out of 6 floors
₹ 61 Lac,0,"
2 BHK Apartment
",900 sqft,4 out of 5 floors
₹ 35 Lac,0,"
3 BHK Apartment
",880 sqft,3 out of 3 floors
₹ 45 Lac,₹ 6000,"
2 BHK Apartment
",750 sqft,2 out of 4 floors
₹ 23 Lac,0,"
1 BHK Apartment
",390 sqft,2 out of 11 floors
₹ 26 Lac,0,"
1 BHK Apartment
",400 sqft,2 out of 17 floors
₹ 50 Lac,₹ 4793,"
3 BHK Apartment
",1043 sqft,4 out of 4 floors
₹ 41 Lac,0,"
3 BHK Apartment
",845 sqft,1 out of 6 floors
₹ 42 Lac,₹ 3500,"
3 BHK Apartment
",1200 sqft,2 out of 3 floors
₹ 55 Lac,0,"
2 BHK Apartment
",1125 sqft,1 out of 6 floors
₹ 80 Lac,₹ 4324,"
3 BHK Apartment
",1850 sqft,9 out of 10 floors
₹ 49.4 Lac,0,"
3 BHK Apartment
",983 sqft,4 out of 5 floors
₹ 62 Lac,₹ 2850,"
3 BHK Apartment
",2175 sqft,1 out of 13 floors
₹ 32 Lac,0,"
2 BHK Apartment
",803 sqft,4 out of 4 floors
₹ 48 Lac,0,"
3 BHK Apartment
",900 sqft,3 out of 5 floors
₹ 62 Lac,0,"
3 BHK Apartment
",1150 sqft,5 out of 6 floors
₹ 38 Lac,0,"
2 BHK Apartment
",650 sqft,3 out of 4 floors
₹ 75 Lac,0,"
3 BHK Apartment
",1360 sqft,4 out of 5 floors
₹ 36 Lac,₹ 3422,"
3 BHK Apartment
",1052 sqft,2 out of 3 floors
₹ 50 Lac,₹ 4065,"
3 BHK Apartment
",1230 sqft,Ground out of 4 floors
₹ 65 Lac,0,"
2 BHK Apartment
",1120 sqft,4 out of 14 floors
₹ 50 Lac,0,"
3 BHK Apartment
",900 sqft,1 out of 3 floors
₹ 75 Lac,₹ 4870,"
3 BHK Apartment
",1540 sqft,7 out of 11 floors
₹ 19.5 Lac,0,"
1 BHK Apartment
",320 sqft,1 out of 4 floors
₹ 35 Lac,0,"
2 BHK Apartment
",725 sqft,2 out of 4 floors
₹ 48 Lac,0,"
2 BHK Apartment
",700 sqft,1 out of 9 floors
₹ 28 Lac,0,"
2 BHK Apartment
",800 sqft,1 out of 3 floors
₹ 21 Lac,₹ 3000,"
2 BHK Apartment
",700 sqft,2 out of 4 floors
₹ 44 Lac,0,"
2 BHK Apartment
",650 sqft,2 out of 3 floors
₹ 24 Lac,₹ 2742,"
2 BHK Apartment
",875 sqft,2 out of 4 floors
₹ 50 Lac,₹ 5555,"
2 BHK Apartment
",900 sqft,2 out of 4 floors
₹ 43 Lac,₹ 4623,"
2 BHK Apartment
",930 sqft,4 out of 5 floors
₹ 21 Lac,0,"
2 BHK Apartment
",750 sqft,2 out of 3 floors
₹ 45.7 Lac,₹ 4299,"
3 BHK Builder Floor
",1063 sqft,1 out of 4 floors
₹ 45 Lac,0,"
3 BHK Apartment
",719 sqft,3 out of 3 floors
₹ 45 Lac,₹ 4849,"
2 BHK Apartment
",928 sqft,7 out of 7 floors
₹ 42 Lac,₹ 44,"
2 BHK Apartment
",975 sqft,3 out of 4 floors
₹ 26 Lac,0,"
2 BHK Apartment
",630 sqft,2 out of 4 floors
₹ 33 Lac,₹ 2910,"
3 BHK Apartment
",1134 sqft,4 out of 4 floors
₹ 21 Lac,₹ 2500,"
3 BHK Apartment
",838 sqft,4 out of 4 floors
₹ 21.5 Lac,0,"
1 BHK Apartment
",435 sqft,3 out of 4 floors
₹ 40 Lac,0,"
2 BHK Builder Floor
",845 sqft,Ground out of 3 floors
₹ 42.7 Lac,0,"
2 BHK Apartment
",850 sqft,11 out of 14 floors
₹ 50 Lac,₹ 3658,"
3 BHK Apartment
",1367 sqft,3 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",643 sqft,3 out of 3 floors
₹ 50 Lac,0,"
2 BHK Apartment
",700 sqft,3 out of 4 floors
₹ 26.9 Lac,0,"
2 BHK Apartment
",690 sqft,6 out of 7 floors
₹ 30 Lac,0,"
2 BHK Apartment
",733 sqft,4 out of 5 floors
₹ 90 Lac,₹ 6860,"
3 BHK Apartment
",1312 sqft,1 out of 14 floors
₹ 46 Lac,0,"
2 BHK Apartment
",954 sqft,1 out of 4 floors
₹ 33 Lac,0,"
2 BHK Apartment
",600 sqft,7 out of 14 floors
₹ 89.6 Lac,0,"
3 BHK Apartment
",1290 sqft,4 out of 21 floors
₹ 20 Lac,0,"
1 BHK Apartment
",400 sqft,2 out of 4 floors
₹ 61 Lac,0,"
3 BHK Apartment
",1100 sqft,3 out of 23 floors
₹ 50 Lac,0,"
3 BHK Apartment
",957 sqft,7 out of 11 floors
₹ 25 Lac,₹ 3102,"
2 BHK Apartment
",806 sqft,2 out of 5 floors
₹ 56 Lac,₹ 4232,"
3 BHK Apartment
",1323 sqft,8 out of 11 floors
₹ 55 Lac,₹ 3928,"
3 BHK Apartment
",1400 sqft,2 out of 4 floors
₹ 34.5 Lac,0,"
2 BHK Apartment
",560 sqft,2 out of 2 floors
₹ 35 Lac,0,"
2 BHK Apartment
",835 sqft,14 out of 14 floors
₹ 52 Lac,₹ 3782,"
3 BHK Apartment
",1375 sqft,5 out of 5 floors
₹ 28 Lac,0,"
3 BHK Apartment
",720 sqft,1 out of 4 floors
₹ 53 Lac,0,"
3 BHK Apartment
",976 sqft,3 out of 4 floors
₹ 90 Lac,0,"
3 BHK Apartment
",1063 sqft,Ground out of 4 floors
₹ 24 Lac,0,"
2 BHK Apartment
",606 sqft,6 out of 14 floors
₹ 58 Lac,0,"
2 BHK Apartment
",680 sqft,6 out of 19 floors
₹ 45 Lac,0,"
3 BHK Builder Floor
",965 sqft,Ground out of 3 floors
₹ 87 Lac,0,"
3 BHK Apartment
",1252 sqft,1 out of 5 floors
₹ 88 Lac,₹ 7040,"
3 BHK Apartment
",1250 sqft,3 out of 4 floors
₹ 70 Lac,0,"
2 BHK Apartment
",1020 sqft,1 out of 5 floors
₹ 22 Lac,₹ 3492,"
2 BHK Apartment
",630 sqft,12 out of 18 floors
₹ 33.3 Lac,0,"
2 BHK Apartment
",720 sqft,2 out of 5 floors
₹ 28 Lac,₹ 3294,"
2 BHK Apartment
",850 sqft,1 out of 4 floors
₹ 53.2 Lac,₹ 6945,"
2 BHK Apartment
",766 sqft,8 out of 9 floors
₹ 27 Lac,0,"
3 BHK Apartment
",808 sqft,Lower Basement out of 4 floors
₹ 39.5 Lac,0,"
2 BHK Apartment
",926 sqft,4 out of 4 floors
₹ 15 Lac,0,"
1 BHK Apartment
",360 sqft,2 out of 2 floors
₹ 15.5 Lac,₹ 2350,"
2 BHK Apartment
",660 sqft,1 out of 2 floors
₹ 17.5 Lac,₹ 4642,"
1 BHK Apartment
",377 sqft,3 out of 4 floors
₹ 19.5 Lac,₹ 2352,"
2 BHK Apartment
",829 sqft,3 out of 3 floors
₹ 89 Lac,₹ 5562,"
3 BHK Apartment
",1600 sqft,5 out of 6 floors
₹ 49 Lac,₹ 3907,"
3 BHK Apartment
",1254 sqft,6 out of 20 floors
₹ 30 Lac,₹ 3484,"
2 BHK Apartment
",861 sqft,2 out of 4 floors
₹ 34 Lac,0,"
2 BHK Apartment
",890 sqft,3 out of 4 floors
₹ 85 Lac,₹ 5400,"
3 BHK Apartment
",1574 sqft,6 out of 22 floors
₹ 70 Lac,0,"
Studio Apartment
",670 sqft,Ground out of 5 floors
₹ 26 Lac,0,"
2 BHK Apartment
",745 sqft,2 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",964 sqft,3 out of 4 floors
₹ 32 Lac,0,"
2 BHK Builder Floor
",714 sqft,1 out of 4 floors
₹ 30 Lac,0,"
2 BHK Apartment
",800 sqft,1 out of 4 floors
₹ 28 Lac,0,"
2 BHK Apartment
",807 sqft,3 out of 6 floors
₹ 40 Lac,0,"
2 BHK Apartment
",850 sqft,2 out of 3 floors
₹ 33 Lac,0,"
2 BHK Apartment
",753 sqft,4 out of 8 floors
₹ 29.5 Lac,0,"
3 BHK Builder Floor
",955 sqft,1 out of 4 floors
₹ 22 Lac,0,"
2 BHK Apartment
",604 sqft,4 out of 4 floors
₹ 34 Lac,0,"
2 BHK Apartment
",840 sqft,2 out of 3 floors
₹ 52.5 Lac,0,"
3 BHK Apartment
",771 sqft,2 out of 10 floors
₹ 36 Lac,0,"
3 BHK Apartment
",1012 sqft,1 out of 4 floors
₹ 85 Lac,0,"
3 BHK Apartment
",1200 sqft,4 out of 4 floors
₹ 22.5 Lac,0,"
2 BHK Apartment
",638 sqft,3 out of 4 floors
₹ 78 Lac,0,"
3 BHK Apartment
",1200 sqft,2 out of 16 floors
₹ 27.6 Lac,₹ 3450,"
2 BHK Apartment
",800 sqft,3 out of 4 floors
₹ 33 Lac,₹ 4400,"
2 BHK Apartment
",750 sqft,2 out of 3 floors
₹ 62 Lac,0,"
3 BHK Apartment
",1358 sqft,11 out of 11 floors
₹ 28 Lac,0,"
2 BHK Apartment
",575 sqft,2 out of 3 floors
₹ 50 Lac,0,"
3 BHK Apartment
",920 sqft,2 out of 4 floors
₹ 80 Lac,0,"
2 BHK Apartment
",1052 sqft,3 out of 14 floors
₹ 42.5 Lac,0,"
2 BHK Apartment
",740 sqft,1 out of 5 floors
₹ 44 Lac,0,"
3 BHK Apartment
",856 sqft,4 out of 4 floors
₹ 75 Lac,0,"
2 BHK Apartment
",740 sqft,1 out of 11 floors
₹ 75 Lac,0,"
3 BHK Apartment
",1070 sqft,2 out of 15 floors
₹ 25 Lac,0,"
2 BHK Apartment
",600 sqft,3 out of 5 floors
₹ 27 Lac,0,"
2 BHK Apartment
",765 sqft,Ground out of 4 floors
₹ 48 Lac,0,"
3 BHK Apartment
",847 sqft,2 out of 3 floors
₹ 25 Lac,0,"
3 BHK Apartment
",950 sqft,Ground out of 3 floors
₹ 16 Lac,0,"
2 BHK Apartment
",425 sqft,Ground out of 4 floors
₹ 20 Lac,₹ 3636,"
1 BHK Apartment
",550 sqft,Ground out of 2 floors
₹ 25.9 Lac,0,"
2 BHK Apartment
",571 sqft,Ground out of 3 floors
₹ 26 Lac,0,"
2 BHK Apartment
",595 sqft,1 out of 3 floors
₹ 24 Lac,0,"
2 BHK Apartment
",770 sqft,2 out of 4 floors
₹ 23 Lac,0,"
2 BHK Apartment
",495 sqft,2 out of 2 floors
₹ 16.5 Lac,0,"
2 BHK Apartment
",553 sqft,Ground out of 3 floors
₹ 83 Lac,0,"
3 BHK Apartment
",1258 sqft,4 out of 4 floors
₹ 70 Lac,₹ 5220,"
3 BHK Apartment
",1341 sqft,5 out of 5 floors
₹ 41 Lac,0,"
2 BHK Apartment
",900 sqft,5 out of 5 floors
₹ 25 Lac,0,"
2 BHK Apartment
",485 sqft,1 out of 3 floors
₹ 20 Lac,₹ 2353,"
2 BHK Apartment
",850 sqft,1 out of 4 floors
₹ 44.3 Lac,₹ 4650,"
2 BHK Apartment
",953 sqft,3 out of 4 floors
₹ 37 Lac,0,"
2 BHK Builder Floor
",850 sqft,4 out of 4 floors
₹ 60 Lac,₹ 5455,"
2 BHK Apartment
",1100 sqft,2 out of 3 floors
₹ 55 Lac,0,"
3 BHK Apartment
",1000 sqft,3 out of 4 floors
₹ 49 Lac,0,"
2 BHK Apartment
",800 sqft,3 out of 4 floors
₹ 45 Lac,0,"
2 BHK Apartment
",700 sqft,8 out of 10 floors
₹ 75 Lac,₹ 5556,"
2 BHK Apartment
",1350 sqft,2 out of 3 floors
₹ 20 Lac,0,"
2 BHK Apartment
",560 sqft,1 out of 4 floors
₹ 51 Lac,₹ 5604,"
2 BHK Builder Floor
",910 sqft,1 out of 3 floors
₹ 65 Lac,0,"
3 BHK Apartment
",1104 sqft,3 out of 3 floors
₹ 22 Lac,₹ 5288,"
1 BHK Apartment
",416 sqft,2 out of 4 floors
₹ 32 Lac,₹ 3950,"
2 BHK Apartment
",810 sqft,2 out of 3 floors
₹ 28 Lac,0,"
2 BHK Apartment
",712 sqft,3 out of 5 floors
₹ 71 Lac,0,"
4 BHK Builder Floor
",1341 sqft,3 out of 3 floors
₹ 50 Lac,₹ 4545,"
2 BHK Apartment
",1100 sqft,3 out of 4 floors
₹ 85 Lac,0,"
3 BHK Apartment
",1153 sqft,2 out of 5 floors
₹ 85 Lac,0,"
3 BHK Apartment
",1028 sqft,5 out of 6 floors
₹ 45 Lac,0,"
3 BHK Apartment
",1233 sqft,9 out of 14 floors
₹ 69 Lac,0,"
2 BHK Apartment
",910 sqft,2 out of 3 floors
₹ 40 Lac,0,"
2 BHK Apartment
",760 sqft,1 out of 3 floors
₹ 19 Lac,0,"
1 BHK Apartment
",366 sqft,3 out of 3 floors
₹ 35 Lac,0,"
3 BHK Apartment
",1000 sqft,4 out of 4 floors
₹ 63 Lac,0,"
3 BHK Apartment
",920 sqft,4 out of 5 floors
₹ 89 Lac,₹ 6129,"
3 BHK Apartment
",1452 sqft,13 out of 15 floors
₹ 70 Lac,0,"
3 BHK Apartment
",970 sqft,4 out of 6 floors
₹ 22.5 Lac,0,"
2 BHK Apartment
",712 sqft,12 out of 19 floors
₹ 69 Lac,0,"
3 BHK Apartment
",1120 sqft,2 out of 19 floors
₹ 16.5 Lac,0,"
2 BHK Apartment
",468 sqft,2 out of 3 floors
₹ 30 Lac,0,"
2 BHK Apartment
",723 sqft,9 out of 15 floors
₹ 54 Lac,0,"
3 BHK Apartment
",900 sqft,4 out of 4 floors
₹ 37 Lac,0,"
3 BHK Apartment
",745 sqft,2 out of 4 floors
₹ 55 Lac,0,"
3 BHK Apartment
",1000 sqft,2 out of 4 floors
₹ 24 Lac,0,"
2 BHK Apartment
",553 sqft,2 out of 2 floors
₹ 80 Lac,0,"
3 BHK Apartment
",1020 sqft,2 out of 3 floors
₹ 60 Lac,0,"
3 BHK Apartment
",900 sqft,3 out of 4 floors
₹ 54 Lac,0,"
3 BHK Apartment
",1202 sqft,3 out of 5 floors
₹ 37 Lac,0,"
2 BHK Apartment
",675 sqft,3 out of 5 floors
₹ 40 Lac,0,"
3 BHK Apartment
",848 sqft,2 out of 5 floors
₹ 40 Lac,0,"
2 BHK Apartment
",800 sqft,4 out of 4 floors
₹ 45 Lac,0,"
2 BHK Apartment
",844 sqft,Ground out of 5 floors
₹ 45 Lac,0,"
3 BHK Apartment
",981 sqft,5 out of 5 floors
₹ 32 Lac,0,"
3 BHK Apartment
",977 sqft,2 out of 4 floors
₹ 45 Lac,0,"
3 BHK Apartment
",1212 sqft,3 out of 5 floors
₹ 21 Lac,0,"
2 BHK Apartment
",349 sqft,Ground out of 3 floors
₹ 49.5 Lac,0,"
3 BHK Apartment
",1314 sqft,4 out of 5 floors
₹ 32 Lac,0,"
3 BHK Apartment
",808 sqft,Ground out of 3 floors
₹ 90 Lac,0,"
2 BHK Apartment
",985 sqft,10 out of 10 floors
₹ 29 Lac,0,"
3 BHK Apartment
",935 sqft,3 out of 3 floors
₹ 38 Lac,0,"
2 BHK Apartment
",680 sqft,3 out of 3 floors
₹ 23 Lac,₹ 3239,"
2 BHK Apartment
",710 sqft,2 out of 5 floors
₹ 20 Lac,0,"
1 BHK Apartment
",408 sqft,2 out of 6 floors
₹ 38 Lac,₹ 4810,"
2 BHK Apartment
",790 sqft,1 out of 5 floors
₹ 28.5 Lac,₹ 3111,"
3 BHK Apartment
",916 sqft,4 out of 7 floors
₹ 40 Lac,0,"
3 BHK Apartment
",1125 sqft,6 out of 16 floors
₹ 30 Lac,₹ 2962,"
3 BHK Apartment
",1013 sqft,11 out of 12 floors
₹ 25.5 Lac,0,"
2 BHK Builder Floor
",630 sqft,2 out of 3 floors
₹ 45 Lac,0,"
2 BHK Apartment
",778 sqft,Ground out of 6 floors
₹ 16 Lac,₹ 2837,"
2 BHK Apartment
",564 sqft,2 out of 2 floors
₹ 22 Lac,0,"
1 BHK Apartment
",300 sqft,Ground out of 4 floors
₹ 47 Lac,₹ 4433,"
3 BHK Apartment
",1060 sqft,5 out of 8 floors
₹ 40 Lac,₹ 6033,"
2 BHK Apartment
",663 sqft,2 out of 3 floors
₹ 33 Lac,0,"
2 BHK Apartment
",950 sqft,2 out of 5 floors
₹ 25 Lac,0,"
2 BHK Apartment
",450 sqft,2 out of 3 floors
₹ 82 Lac,₹ 5836,"
3 BHK Apartment
",1405 sqft,2 out of 4 floors
₹ 50 Lac,₹ 4425,"
3 BHK Apartment
",1130 sqft,4 out of 4 floors
₹ 48 Lac,₹ 4729,"
2 BHK Apartment
",1015 sqft,3 out of 3 floors
₹ 32 Lac,₹ 6095,"
2 BHK Builder Floor
",525 sqft,Ground out of 5 floors
₹ 46 Lac,0,"
3 BHK Apartment
",900 sqft,3 out of 3 floors
₹ 41.2 Lac,₹ 3916,"
2 BHK Apartment
",1052 sqft,3 out of 11 floors
₹ 27 Lac,₹ 3792,"
2 BHK Apartment
",712 sqft,1 out of 28 floors
₹ 83 Lac,0,"
3 BHK Apartment
",1373 sqft,7 out of 11 floors
₹ 52 Lac,0,"
2 BHK Builder Floor
",700 sqft,1 out of 4 floors
₹ 15 Lac,0,"
1 BHK Apartment
",550 sqft,Ground out of 6 floors
₹ 24 Lac,₹ 3840,"
2 BHK Apartment
",625 sqft,1 out of 2 floors
₹ 80 Lac,0,"
3 BHK Apartment
",1700 sqft,2 out of 18 floors
₹ 56 Lac,₹ 4225,"
3 BHK Apartment
",1325 sqft,4 out of 6 floors
₹ 50 Lac,0,"
2 BHK Apartment
",1028 sqft,2 out of 3 floors
₹ 36 Lac,0,"
3 BHK Apartment
",919 sqft,Ground out of 7 floors
₹ 34 Lac,0,"
3 BHK Builder Floor
",893 sqft,Ground out of 3 floors
₹ 23 Lac,0,"
2 BHK Apartment
",768 sqft,1 out of 5 floors
₹ 28 Lac,0,"
2 BHK Apartment
",553 sqft,1 out of 4 floors
₹ 16.5 Lac,₹ 2952,"
2 BHK Apartment
",559 sqft,2 out of 3 floors
₹ 65 Lac,0,"
3 BHK Apartment
",950 sqft,2 out of 2 floors
₹ 25 Lac,0,"
3 BHK Apartment
",1100 sqft,4 out of 4 floors
₹ 68 Lac,0,"
3 BHK Penthouse
",2050 sqft,2 out of 2 floors
₹ 23.4 Lac,0,"
2 BHK Apartment
",425 sqft,Ground out of 19 floors
₹ 60 Lac,₹ 4777,"
3 BHK Apartment
",1256 sqft,5 out of 10 floors
₹ 20.8 Lac,₹ 2600,"
2 BHK Apartment
",800 sqft,4 out of 5 floors
₹ 64 Lac,₹ 4200,"
3 BHK Apartment
",1523 sqft,New Property
₹ 55.2 Lac,₹ 4572,"
3 BHK Apartment
",1208 sqft,3 out of 5 floors
₹ 31.7 Lac,0,"
2 BHK Apartment
",898 sqft,New Property
₹ 85.2 Lac,₹ 6936,"
3 BHK Apartment
",1228 sqft,New Property
₹ 30.2 Lac,₹ 3350,"
2 BHK Apartment
",901 sqft,1 out of 5 floors
₹ 87.5 Lac,₹ 7193,"
3 BHK Apartment
",1216 sqft,1 out of 6 floors
₹ 31.7 Lac,₹ 3850,"
2 BHK Apartment
",823 sqft,New Property
₹ 33.5 Lac,₹ 3000,"
3 BHK Apartment
",1115 sqft,New Property
₹ 55 Lac,₹ 4497,"
3 BHK Apartment
",1223 sqft,New Property
₹ 22.5 Lac,₹ 2799,"
2 BHK Apartment
",804 sqft,1 out of 4 floors
₹ 27.7 Lac,₹ 2900,"
3 BHK Apartment
",956 sqft,New Property
₹ 26.4 Lac,₹ 2400,"
3 BHK Apartment
",1100 sqft,1 out of 4 floors
₹ 39.5 Lac,₹ 3350,"
3 BHK Apartment
",1180 sqft,4 out of 4 floors
₹ 25.1 Lac,₹ 3149,"
2 BHK Apartment
",797 sqft,New Property
₹ 35.8 Lac,0,"
3 BHK Apartment
",900 sqft,3 out of 4 floors
₹ 42 Lac,0,"
3 BHK Apartment
",830 sqft,3 out of 4 floors
₹ 24.4 Lac,₹ 2639,"
2 BHK Apartment
",925 sqft,New Property
₹ 29 Lac,₹ 3250,"
2 BHK Apartment
",891 sqft,New Property
₹ 87 Lac,0,"
3 BHK Apartment
",1007 sqft,18 out of 21 floors
₹ 38.5 Lac,₹ 4052,"
2 BHK Apartment
",950 sqft,1 out of 14 floors
₹ 35.8 Lac,₹ 4813,"
2 BHK Apartment
",744 sqft,2 out of 6 floors
₹ 32 Lac,₹ 3478,"
2 BHK Apartment
",920 sqft,1 out of 3 floors
₹ 30.5 Lac,₹ 2800,"
3 BHK Apartment
",1088 sqft,Unfurnished
₹ 29.4 Lac,₹ 3187,"
3 BHK Apartment
",922 sqft,New Property
₹ 32 Lac,₹ 2766,"
3 BHK Apartment
",1157 sqft,New Property
₹ 38.7 Lac,₹ 3300,"
3 BHK Apartment
",1172 sqft,3 out of 5 floors
₹ 60 Lac,0,"
3 BHK Apartment
",950 sqft,3 out of 4 floors
₹ 40 Lac,0,"
2 BHK Apartment
",670 sqft,3 out of 8 floors
₹ 19 Lac,0,"
2 BHK Apartment
",708 sqft,3 out of 3 floors
₹ 22 Lac,0,"
2 BHK Apartment
",411 sqft,12 out of 18 floors
₹ 43 Lac,₹ 3723,"
3 BHK Apartment
",1155 sqft,3 out of 3 floors
₹ 60 Lac,₹ 4979,"
3 BHK Apartment
",1205 sqft,2 out of 6 floors
₹ 77 Lac,₹ 4537,"
3 BHK Apartment
",1697 sqft,11 out of 15 floors
₹ 16.5 Lac,0,"
2 BHK Apartment
",500 sqft,3 out of 3 floors
₹ 75 Lac,₹ 5172,"
3 BHK Apartment
",1450 sqft,7 out of 7 floors
₹ 62.7 Lac,₹ 5500,"
3 BHK Apartment
",1140 sqft,3 out of 4 floors
₹ 27 Lac,0,"
2 BHK Apartment
",664 sqft,3 out of 3 floors
₹ 75 Lac,0,"
3 BHK Apartment
",1200 sqft,Lower Basement out of 16 floors
₹ 25 Lac,0,"
2 BHK Apartment
",580 sqft,3 out of 4 floors
₹ 63 Lac,0,"
3 BHK Apartment
",996 sqft,4 out of 4 floors
₹ 33.9 Lac,₹ 3400,"
2 BHK Apartment
",996 sqft,1 out of 3 floors
₹ 35 Lac,₹ 4375,"
2 BHK Apartment
",800 sqft,1 out of 3 floors
₹ 70 Lac,₹ 5691,"
3 BHK Apartment
",1230 sqft,3 out of 4 floors
₹ 22.7 Lac,0,"
1 BHK Apartment
",520 sqft,1 out of 4 floors
₹ 65 Lac,₹ 4483,"
3 BHK Apartment
",1450 sqft,3 out of 4 floors
₹ 48.8 Lac,0,"
3 BHK Apartment
",900 sqft,3 out of 4 floors
₹ 78 Lac,0,"
3 BHK Apartment
",1100 sqft,10 out of 14 floors
₹ 34 Lac,0,"
2 BHK Builder Floor
",900 sqft,3 out of 4 floors
₹ 47.2 Lac,₹ 4600,"
3 BHK Apartment
",1025 sqft,3 out of 4 floors
₹ 34 Lac,0,"
2 BHK Builder Floor
",950 sqft,2 out of 4 floors
₹ 32 Lac,₹ 4571,"
2 BHK Apartment
",700 sqft,2 out of 4 floors
₹ 16.5 Lac,0,"
2 BHK Apartment
",500 sqft,1 out of 3 floors
₹ 66 Lac,0,"
3 BHK Apartment
",1210 sqft,2 out of 8 floors
₹ 52 Lac,0,"
3 BHK Builder Floor
",900 sqft,2 out of 2 floors
₹ 45 Lac,0,"
3 BHK Apartment
",1100 sqft,1 out of 7 floors
₹ 22 Lac,₹ 3056,"
2 BHK Apartment
",720 sqft,Ground out of 4 floors
₹ 40 Lac,₹ 3902,"
3 BHK Apartment
",1025 sqft,1 out of 3 floors
₹ 35.4 Lac,0,"
3 BHK Apartment
",744 sqft,3 out of 4 floors
₹ 68 Lac,₹ 4892,"
4 BHK Apartment
",1390 sqft,5 out of 12 floors
₹ 40.8 Lac,₹ 2599,"
4 BHK Apartment
",1570 sqft,3 out of 5 floors
₹ 33 Lac,₹ 3928,"
3 BHK Apartment
",840 sqft,10 out of 16 floors
₹ 60 Lac,₹ 7059,"
2 BHK Apartment
",850 sqft,5 out of 12 floors
₹ 85 Lac,0,"
3 BHK Apartment
",1 sqft,3 out of 4 floors
₹ 55 Lac,₹ 5027,"
2 BHK Apartment
",1094 sqft,2 out of 14 floors
₹ 18.3 Lac,₹ 2700,"
2 BHK Apartment
",678 sqft,2 out of 3 floors
₹ 27.5 Lac,0,"
2 BHK Apartment
",485 sqft,14 out of 14 floors
₹ 80 Lac,0,"
3 BHK Apartment
",1050 sqft,5 out of 7 floors
₹ 85 Lac,0,"
3 BHK Apartment
",1200 sqft,6 out of 8 floors
₹ 23.8 Lac,0,"
2 BHK Apartment
",565 sqft,2 out of 3 floors
₹ 33.8 Lac,0,"
2 BHK Apartment
",800 sqft,2 out of 5 floors
₹ 75 Lac,₹ 6372,"
3 BHK Apartment
",1177 sqft,Ground out of 8 floors
₹ 22 Lac,₹ 3667,"
Studio Apartment
",600 sqft,7 out of 10 floors
₹ 40 Lac,0,"
2 BHK Apartment
",780 sqft,6 out of 12 floors
₹ 27.7 Lac,0,"
2 BHK Apartment
",750 sqft,5 out of 11 floors
